,filename,Low_SNR_PSNR,Pred_PSNR,PSNR_diff
0,20ms_20__021.tif,27.63137983189873,30.73580660379387,3.104426771895138
1,20ms_20%_004.tif,28.724134785665832,30.858212122200754,2.134077336534922
2,20ms_20__023.tif,32.42751241001204,35.740174772012175,3.3126623620001325
3,20ms_20%_005.tif,25.332615725396334,27.80298418031647,2.4703684549201377
4,20ms_20__022.tif,29.265571082812606,33.042568048492676,3.7769969656800697
5,20ms_20%_006.tif,27.635612885526122,29.942662547879813,2.307049662353691
6,20ms_20__024.tif,30.945844838204977,33.99444484675618,3.0486000085512046
7,20ms_20%_007.tif,27.047904220957744,29.58392956071951,2.5360253397617676
8,20ms_20__025.tif,27.386406807566793,30.118456192006988,2.732049384440195
9,20ms_20%_008.tif,26.081743751897797,28.73144574404115,2.6497019921433527
10,20ms_20__026.tif,24.169842620080708,26.307526516872294,2.137683896791586
11,20ms_20%_009.tif,30.023267473563855,33.08539534677272,3.0621278732088655
12,20ms_20__033.tif,27.205239296997263,29.020629170716674,1.8153898737194112
13,20ms_20%_010.tif,27.528697992429585,30.2086702510134,2.679972258583817
14,20ms_20__034.tif,24.42528853584036,25.98077183569012,1.5554832998497616
15,20ms_20%_011.tif,25.42808216322728,27.451908029260185,2.0238258660329045
16,20ms_20__035.tif,25.77123458466334,28.03312541394336,2.26189082928002
17,20ms_20%_012.tif,26.359496209843385,29.187098371773384,2.827602161929999
18,Img11.tif,27.522920969016127,27.8883140187367,0.3653930497205735
19,20ms_20%_013.tif,27.280442268473802,29.84890967626019,2.5684674077863896
20,Img10.tif,27.759739449646744,27.93098818934343,0.17124873969668641
21,20ms_20%_014.tif,26.95849659839658,29.998836512205706,3.0403399138091274
22,Img12.tif,27.392665699530696,28.07756862677811,0.6849029272474141
23,20ms_20%_015.tif,26.661111938535136,28.580491217668783,1.919379279133647
24,Img13.tif,30.375366672229596,30.534722963859892,0.15935629163029574
25,20ms_20%_016.tif,26.791241042767577,28.686174278398404,1.8949332356308268
26,Img14.tif,32.77039221681537,33.19230721203487,0.4219149952195025
27,20ms_20%_017.tif,24.52750105161476,26.464342516888987,1.9368414652742274
28,Img15.tif,25.616116040207515,25.949862335317057,0.3337462951095418
29,20ms_20%_018.tif,24.792945987474113,26.913509462422304,2.1205634749481916
30,Img16.tif,27.870155373215056,28.12950657949041,0.2593512062753547
31,20ms_20%_019.tif,27.874272105691894,30.363228143388945,2.4889560376970508
32,Img17.tif,28.144725269213303,28.79144053036814,0.646715261154835
